City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rock Sound,BS,78.78,broken clouds,24.9,-76.2,Rock Sound Club
1,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Butaritari,KI,82.6,clear sky,3.0707,172.7902,Isles Sunset Lodge
8,Rikitea,PF,75.9,light rain,-23.1203,-134.9692,Pension Maro'i
9,Atuona,PF,79.2,clear sky,-9.8,-139.0333,Villa Enata
13,Hermanus,ZA,74.89,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Gorontalo,ID,85.39,heavy intensity rain,0.5412,123.0595,Maqna Hotel by Prasanthi
25,Hithadhoo,MV,83.3,overcast clouds,-0.6,73.0833,Scoop Guest House
27,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Arraial Do Cabo,BR,72.32,clear sky,-22.9661,-42.0278,Pousada Porto Praia
29,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
31,Nagato,JP,72.05,overcast clouds,34.3833,131.2,いそう庵
37,Meadow Lake,US,70.16,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
38,Marsabit,KE,73.81,few clouds,2.3284,37.9899,Chicho Hotel
40,Kimbe,PG,79.27,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
43,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
45,Kloulklubed,PW,81.52,broken clouds,7.0419,134.2556,Storyboard Beach Resort
47,Puerto Ayora,EC,72.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Hilo,US,73.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Martapura,ID,87.89,moderate rain,-3.4167,114.85,Montana Hotel Syariah
58,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
68,Auki,SB,79.57,overcast clouds,-8.7676,160.7034,Auki Motel
69,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
73,Jamestown,US,71.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
74,Banes,CU,77.47,scattered clouds,20.9625,-75.7186,Hostal Iván y yailet
77,Nikolskoye,RU,75.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
78,Hasaki,JP,73.69,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
79,Itarema,BR,74.77,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
81,Isangel,VU,72.93,overcast clouds,-19.55,169.2667,Tanna Lodge
85,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Balkhash,KZ,75.81,clear sky,46.844,74.9804,Family
90,Yarmouth,US,70.97,broken clouds,41.7057,-70.2286,Blue Rock Resort
92,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
93,Luorong,CN,89.38,clear sky,24.4058,109.6086,荣立大酒店
94,Poum,NC,73.81,overcast clouds,-20.2333,164.0167,Gîte kajeon
97,Cabo San Lucas,MX,84.4,clear sky,22.8909,-109.9124,Tesoro Los Cabos
102,Bethel,US,74.57,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
103,Kerema,PG,78.4,overcast clouds,-7.9631,145.7785,Frena Lodge
106,Celestun,MX,80.46,broken clouds,20.8667,-90.4,Posada Lilia
108,Nuqui,CO,78.26,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
109,Punta,PH,82.18,overcast clouds,8.9897,125.34,Vyjannex boarding house
110,Garowe,SO,89.64,clear sky,8.4054,48.4845,Curubo Hotel
113,Suluq,LY,80.06,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
114,Vanimo,PG,80.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
116,Meulaboh,ID,84.65,overcast clouds,4.1363,96.1285,Kost Pria
118,Carnarvon,AU,71.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
122,Kouroussa,GN,76.96,clear sky,10.65,-9.8833,Hotel Paillote
123,Gwadar,PK,87.26,scattered clouds,25.1216,62.3254,Sadaf Resort
124,Saint George,US,88.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
125,Le Moule,GP,77.04,overcast clouds,16.3332,-61.3473,Lakaz Hananou
127,Atambua,ID,79.61,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
128,Odienne,CI,76.86,scattered clouds,9.51,-7.5692,Oustaz Vame DIAKITE
131,Melilla,ES,73.78,few clouds,35.2937,-2.9383,Hotel Nacional
133,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
134,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
136,Takoradi,GH,79.32,light rain,4.8845,-1.7554,Raybow International Hotel
139,Zanjan,IR,80.29,clear sky,36.6736,48.4787,Qasr Hotel
144,Palmer,US,73.42,clear sky,42.1584,-72.3287,Wedgewood Motel
148,Nago,JP,86.43,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
150,Kingman,US,85.48,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
152,Majene,ID,85.62,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
153,Shelburne,CA,73.89,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
154,Abyek,IR,83.8,clear sky,36.0667,50.55,kaspian sanat navrd sina(لوله مبلی سینا)
155,Namatanai,PG,80.74,light rain,-3.6667,152.4333,Seagulls Inn Namatani
156,Fenoarivo Atsinanana,MG,76.53,light rain,-17.3667,49.4167,L'Oasis Lodge
157,San Buenaventura,MX,81.48,clear sky,27.0833,-101.5333,Hotel Gran Plaza
161,Salalah,OM,89.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
163,Sao Joao Da Barra,BR,70.43,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
164,Fuling,CN,88.23,overcast clouds,29.7022,107.3919,Yingbin Hostel
165,Ahuimanu,US,77.76,clear sky,21.4447,-157.8378,Paradise Bay Resort
167,Linguere,SN,80.82,clear sky,15.3953,-15.1193,Hôtel Amadou Seck
170,Riverton,US,74.68,few clouds,40.5219,-111.9391,Ramada by Wyndham Draper
172,Laguna,US,75.02,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
181,Yamada,JP,71.42,overcast clouds,39.4667,141.95,Iroha-ya Inn
183,Benjamin Constant,BR,73.53,heavy intensity rain,-4.3831,-70.0311,CASA AVALIADA
184,Kupang,ID,86.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
186,Ilheus,BR,72.39,overcast clouds,-14.7889,-39.0494,Barravento Hotel
187,Puerto Palomas,MX,77.79,scattered clouds,31.7667,-107.6167,Hotel San Carlos
191,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
192,Buala,SB,80.83,light rain,-8.145,159.5921,Maringe Lagoon Lodge
194,Maryville,US,71.73,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
198,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
202,Sinnamary,GF,76.32,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
205,Kavieng,PG,82.33,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
210,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
213,Roma,US,72.88,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
217,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
219,Sao Filipe,CV,75.9,overcast clouds,14.8961,-24.4956,Hotel Xaguate
224,Puerto Leguizamo,CO,70.29,overcast clouds,-0.1934,-74.7819,la casona de juancho
226,Cayenne,GF,74.08,mist,4.9333,-52.3333,Hôtel Le Dronmi
228,Kandrian,PG,79.25,light rain,-6.2167,149.55,Kandrian Station
229,Umm Lajj,SA,86.16,clear sky,25.0213,37.2685,Moon light Furnished Units
230,Wanning,CN,83.57,light rain,18.8003,110.3967,Paradise Hotel
232,San Patricio,US,80.47,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
240,Gasa,PS,78.78,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
241,Mantua,IT,76.82,clear sky,45.1667,10.7833,Hotel la Favorita
243,Kamaishi,JP,81.55,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
251,Humaita,BR,74.41,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
253,Marsh Harbour,BS,78.39,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
255,Lumberton,US,74.34,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
256,Inirida,CO,72.75,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
258,Bossangoa,CF,73.67,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
