City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rock Sound,BS,24.9,-76.2,78.78,83,62,19.46,broken clouds
1,Saint-Philippe,RE,-21.3585,55.7679,80.15,78,57,7.09,light rain
2,Ostrovnoy,RU,68.0531,39.5131,43.9,63,45,13.44,scattered clouds
3,Takaka,NZ,-40.85,172.8,57.56,96,100,5.44,overcast clouds
4,Bayan,CN,46.0833,127.4,69.55,51,32,5.53,scattered clouds
5,Port Alfred,ZA,-33.5906,26.891,67.1,28,0,8.34,clear sky
6,Butaritari,KI,3.0707,172.7902,82.6,72,4,2.91,clear sky
7,Upernavik,GL,72.7868,-56.1549,34.14,81,0,3.33,clear sky
8,Rikitea,PF,-23.1203,-134.9692,75.9,84,100,17.78,light rain
9,Atuona,PF,-9.8,-139.0333,79.2,70,10,14.34,clear sky
10,Adrar,MR,20.5022,-10.0711,87.98,13,87,20.47,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,37.51,81,90,11.16,overcast clouds
12,Acari,PE,-15.4311,-74.6158,64.74,74,56,1.28,broken clouds
13,Hermanus,ZA,-34.4187,19.2345,74.89,42,18,9.51,few clouds
14,New Norfolk,AU,-42.7826,147.0587,51.93,76,85,3.47,overcast clouds
15,Tokur,RU,53.1333,132.9,70.38,27,65,6.85,broken clouds
16,Ushuaia,AR,-54.8,-68.3,31.66,80,75,3.44,broken clouds
17,Albany,US,42.6001,-73.9662,68.54,78,59,2.93,broken clouds
18,Constitucion,CL,-35.3333,-72.4167,48.94,65,100,4.9,overcast clouds
19,Bluff,NZ,-46.6,168.3333,47.19,80,93,6.71,overcast clouds
20,Barrow,US,71.2906,-156.7887,33.82,86,90,11.5,mist
21,Gorontalo,ID,0.5412,123.0595,85.39,71,77,5.17,heavy intensity rain
22,San Cristobal,VE,7.7669,-72.225,66.49,99,100,2.91,overcast clouds
23,Kodiak,US,57.79,-152.4072,54.91,50,1,18.41,clear sky
24,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,9.22,scattered clouds
25,Hithadhoo,MV,-0.6,73.0833,83.3,71,89,12.21,overcast clouds
26,Yellowknife,CA,62.456,-114.3525,45.12,70,20,11.5,few clouds
27,Vaini,TO,-21.2,-175.2,71.76,83,75,0.0,broken clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,72.32,87,0,19.77,clear sky
29,Yulara,AU,-25.2406,130.9889,71.44,23,0,9.22,clear sky
30,Huancavelica,PE,-12.7667,-74.9833,37.09,90,97,3.06,overcast clouds
31,Nagato,JP,34.3833,131.2,72.05,69,100,5.86,overcast clouds
32,Mataura,NZ,-46.1927,168.8643,40.62,96,81,2.08,broken clouds
33,College,US,64.8569,-147.8028,62.58,58,75,9.22,light rain
34,Najran,SA,17.4924,44.1277,97.45,9,0,8.39,clear sky
35,Cilaos,RE,-21.1336,55.4719,66.7,78,49,2.68,light rain
36,Kruisfontein,ZA,-34.0033,24.7314,66.38,16,0,13.62,clear sky
37,Meadow Lake,US,34.8014,-106.5436,70.16,66,79,2.77,broken clouds
38,Marsabit,KE,2.3284,37.9899,73.81,44,12,25.19,few clouds
39,Aykhal,RU,66.0,111.5,53.28,33,100,15.79,overcast clouds
40,Kimbe,PG,-5.5502,150.1429,79.27,86,99,2.15,moderate rain
41,Sur,OM,22.5667,59.5289,92.37,58,0,6.35,clear sky
42,Uruana,BR,-15.4981,-49.6875,67.48,62,100,3.8,overcast clouds
43,Port Hedland,AU,-20.3167,118.5667,80.65,44,71,12.66,broken clouds
44,Aklavik,CA,68.2191,-135.0107,41.0,70,40,8.05,scattered clouds
45,Kloulklubed,PW,7.0419,134.2556,81.52,77,63,4.41,broken clouds
46,Olafsvik,IS,64.8945,-23.7142,45.93,95,100,1.05,overcast clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,72.55,93,23,3.0,few clouds
48,Grindavik,IS,63.8424,-22.4338,49.55,87,75,16.33,broken clouds
49,Chokurdakh,RU,70.6333,147.9167,38.7,74,100,12.37,light rain
50,Valparaiso,CL,-33.0393,-71.6273,55.47,73,100,8.3,overcast clouds
51,Sfantu Gheorghe,RO,45.8667,25.7833,63.82,88,81,1.01,broken clouds
52,Hofn,IS,64.2539,-15.2082,46.76,88,93,6.85,overcast clouds
53,Tuktoyaktuk,CA,69.4541,-133.0374,30.36,88,21,7.36,few clouds
54,Busselton,AU,-33.65,115.3333,63.05,63,38,10.92,scattered clouds
55,Lagoa,PT,39.05,-27.9833,63.27,87,98,12.75,overcast clouds
56,Hilo,US,19.7297,-155.09,73.8,77,40,5.75,light rain
57,Martapura,ID,-3.4167,114.85,87.89,66,40,4.5,moderate rain
58,Cape Town,ZA,-33.9258,18.4232,75.11,25,0,11.72,clear sky
59,Hovd,MN,48.0056,91.6419,59.54,13,24,9.26,few clouds
60,Santa Maria,BR,-29.6842,-53.8069,60.91,97,100,3.94,overcast clouds
61,Rawson,AR,-43.3002,-65.1023,42.28,61,28,10.18,scattered clouds
62,Komsomolskiy,UZ,40.4272,71.7189,97.52,19,0,9.22,clear sky
63,Georgetown,MY,5.4112,100.3354,91.35,70,20,5.99,few clouds
64,Mpophomeni,ZA,-29.5682,30.1862,56.3,41,0,4.92,clear sky
65,Mount Gambier,AU,-37.8333,140.7667,58.91,82,40,18.41,scattered clouds
66,Vardo,NO,70.3705,31.1107,42.85,74,11,19.37,few clouds
67,Lebu,CL,-37.6167,-73.65,47.55,78,100,9.31,overcast clouds
68,Auki,SB,-8.7676,160.7034,79.57,84,94,4.59,overcast clouds
69,The Valley,AI,18.217,-63.0578,80.46,76,100,19.89,overcast clouds
70,Qaanaaq,GL,77.484,-69.3632,35.49,68,69,6.38,broken clouds
71,Havoysund,NO,70.9963,24.6622,45.48,76,14,12.15,few clouds
72,Songjianghe,CN,42.1859,127.479,58.89,87,87,3.22,light rain
73,Jamestown,US,42.097,-79.2353,71.19,84,1,3.44,clear sky
